sku(必填),平台SKU,识别码,中文名称,英文名称,分类ID,图片URL,商品净重（g）,采购参考价（RMB）,采购员,长(cm),宽(cm),高(cm),来源url（超始值为：http://）,备注,英文报关,中文报关,申报重量（g）,申报金额（USD）,危险运输品,材质,用途,海关编码,开发员,销售方式,创建时间
6933910422683,6933910422683,,工程款 24P主板电源延长线尼龙编织款 18AWG 30cm 黑色 带2个24P黑色夹子 型号：ZB24P,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744181512755/0/20250721171418/55f8ef41367df70b2c82fccf4bfc9844.jpg,142,24.8,无,22,14,2,,,ATX power extension cable,ATX电源延长线,128.6,3,0,6933910422683,,8544421900,,售卖品,2025-07-21 17:14:06
D628LB,D628LB,,六类通孔网线钳带线序可切线 蓝黑款 型号：D628LB,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744179572917/0/20250718102551/4b221b4bace2e25ac340861fc8dd1d71.jpg,345,20.0,无,10,21,2.5,,,RJ45 crimper,网线钳,345,3,0,D628LB,,8203200090,,售卖品,2025-07-18 10:25:51
D728YL,D728YL,,七类通孔网线钳可压燕尾夹可切线  黄黑色款 型号：D728YL,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744179186875/0/20250717163704/aa9a646c493001e4ebe0ebf28ca165c6.jpg,358,20.0,无,10,21,2.5,,,RJ45 crimper,网线钳,369,2,0,#N/A,,8203200090,,售卖品,2025-07-17 16:37:04
DC6AURND01,DC6AURND01,,超六类UTP免打水晶头圆尾塑料款 1个装 型号：DC6AURND01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317501/0/20250717092245/f88677415e100be4e9a613f89361adb6.jpg,16,3.0,无,8,13,1.5,,,RJ45 connector,RJ45 连接器,28,1,0,DC6AURND01,,8504319000,,售卖品,2025-07-16 18:04:27
D586RBL,D586RBL,,六类网线钳 蓝黑款 型号：D586RBL,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317401/0/20250717092358/da2b0e6eff17ec9ce5d1219a21af293b.jpg,352.17,12.5,无,27,12,3,,,RJ45 crimper,网线钳,342,3,0,#N/A,,8203200090,,售卖品,2025-07-16 18:04:13
D6088YB,D6088YB,,六类通孔网线钳带线序可切线 黄黑款 型号：D6088YB,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317337/0/20250717092716/0f397290547efe95f1c3b2304c99d7b3.jpg,375,20.0,无,23,13,4.5,,,RJ45 crimper,网线钳,375,3,0,D6088YB,,8203200090,,售卖品,2025-07-16 18:03:54
D728BK,D728BK,,七类通孔网线钳可压燕尾夹可切线  黑色款 型号：D728BK,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317307/0/20251124102145/b5397237f54a808453bfb6397624e16c.jpg,355.5,20.0,无,10,21,2.5,,,RJ45 crimper,网线钳,355.5,3,0,D728BK,,8203200090,,售卖品,2025-07-16 18:03:46
D718BK,D718BK,,七类通孔网线钳可压燕尾夹 黑色款 型号：D718BK,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317249/0/20250717092753/fe35e75d611060e89138cea94a721b4c.jpg,355.5,20.0,无,0,0,0,,,RJ45 crimper,网线钳,355.5,3,0,D718BK,,8203200090,,售卖品,2025-07-16 18:03:36
D918,D918,,918网络打线刀 型号：D918,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317227/0/20250717092925/5ef8948dd62b4c7e3d6207857950b078.jpg,193,20.0,无,10.5,26.5,3,,,RJ45 crimper,网线钳,193,3,0,D918,,8203200090,,售卖品,2025-07-16 18:03:26
D501B,D501B,,501B网络剥线刀 型号：D501B,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317187/0/20250717092958/7f71e50ef0f927dbe4fbf7a490869ac6.jpg,73,4.5,无,19.5,18,3,,,RJ45 crimper,网线钳,73,1,0,D501B,,8203200090,,售卖品,2025-07-16 18:03:16
D352,D352,,352网络剥线刀  型号：D352,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178317143/0/20250717093015/84cf3fb3a429b49be0206399d056c8e6.jpg,110.2,6.5,无,18.5,16,5,,,RJ45 crimper,网线钳,110,1,0,D352,,8203200090,,售卖品,2025-07-16 18:03:04
DC8SFRND01,DC8SFRND01,,八类SFTP免打水晶头圆尾金属款 1个装 型号：DC8SFRND01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178316575/0/20250717093049/d29dc3e768c0970e6f9a72f4c0580981.jpg,30,10.5,无,8,13,1.5,,,RJ45 connector,RJ45 连接器,30,1,0,DC8SFRND01,,8504319000,,售卖品,2025-07-16 18:02:50
DC7SRND01,DC7SRND01,,七类STP免打水晶头圆尾金属款 1个装 型号：DC7SRND01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178316441/0/20250717093131/1fb43d76173bb33ee61ccff7ed4f58ac.jpg,25.8,7.0,无,8,13,1.5,,,RJ45 connector,RJ45 连接器,20,1,0,DC7SRND01,,8504319000,,售卖品,2025-07-16 18:02:37
DC6ASRND01,DC6ASRND01,,超六类STP免打水晶头圆尾金属款 1个装 型号：DC6ASRND01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178316407/0/20250717093146/c9af16440c6a985638b25c8c00676f38.jpg,26.8,7.0,无,8,13,1.5,,,RJ45 connector,RJ45 连接器,20,1,0,DC6ASRND01,,8504319000,,售卖品,2025-07-16 18:02:26
DC6URND01,DC6URND01,,六类UTP免打水晶头圆尾塑料款 1个装 型号：DC6URND01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178316365/0/20250717093202/693c5476e85dce7b825f0b281ada7709.jpg,21,2.9,无,8,13,1.5,,,RJ45 connector,RJ45 连接器,21,1,0,DC6URND01,,8504319000,,售卖品,2025-07-16 18:02:14
DC5EURND01,DC5EURND01,,超五类UTP免打水晶头圆尾塑料款 1个装 型号：DC5EURND01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178316315/0/20250717093218/d7c7408d6ea282ad2fb1fab8441ee69c.jpg,16,2.8,无,8,13,1.5,,,RJ45 connector,RJ45 连接器,16,1,0,,,8504319000,,售卖品,2025-07-16 18:02:02
DC630F108TH100,DC630F108TH100,,六类FTP单排（1.08）通孔30U镀金100个易拉罐装   型号：DC630F108TH100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178316275/0/20250910113714/41d27bb9a2d2481e15aa98e1c025c8f5.jpg,309,15.0,无,0,0,0,,,RJ45 crimper,RJ45连接器,277,2,0,DC630F108TH100,,8504319000,,售卖品,2025-07-16 18:01:52
DC630U108TH100,DC630U108TH100,,六类UTP单排（1.08）通孔30U镀金100个易拉罐装   型号：DC630U108TH100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744178316211/0/20250910113756/326a26930e1a03f244799c5edaf3613f.jpg,223.4,9.5,无,0,0,0,,,RJ45 crimper,RJ45连接器,196,1,0,DC630U108TH100,,8504319000,,售卖品,2025-07-16 18:01:41
6933910422669,6933910422669,,双节长款显卡支架18-26MM 黑色 型号：RA-ZJ1826,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744177906035/0/20250719161718/d194ee11ec43d6344418685f9c72fd4c.jpg,20,2.5,无,13,8,1,,,GPU brace,显卡支架,20,1,0,#N/A,,8473309000,,售卖品,2025-07-16 10:13:23
6933910422676,6933910422676,,双节长款显卡支架18-26MM 银色 型号：RA-ZJ1826,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744177905109/0/20250719161735/0ccb99f827b8d401fcd40c43c628dfc1.jpg,20,2.5,无,13,8,1,,,GPU brace,显卡支架,20,1,0,#N/A,,8473309000,,售卖品,2025-07-16 10:12:16
6933910410451,6933910410451,,佳翼 m2 nvme 双盘拆分卡双盘裸卡 型号：P600,,1128549,,0,0.0,无,0,0,0,,,PCIE adapter,PCIE接口转接卡,50,1,0,6933910410451,,8471800000,,售卖品,2025-07-14 14:24:42
6933910422652,6933910422652,,海景房显卡金属支撑架风扇位固定 白色型号：GH-696B,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744174494887/0/20250904174216/eec7b10ba63ee1553f2989e08db28e90.jpg,65,3.8,无,15,9,2.5,,,GPU brace,显卡支架,65,1,0,6933910422652,,8473309000,,售卖品,2025-07-11 18:32:23
6933910422645,6933910422645,,海景房显卡金属支撑架风扇位固定 黑色型号：GH-696H,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744174494853/0/20250904174226/ce8f8cbcb1b9f9a1c381f2029503d24b.jpg,65,3.4,无,15,9,2.5,,,GPU brace,显卡支架,65,1,0,6933910422645,,8473309000,,售卖品,2025-07-11 18:32:15
6933910422638,6933910422638,,PCIE4.0 X1显卡延长线(90度 9090) 15CM 黑色 带磁铁 型号: PCIE40X19090CBK15,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172920939/0/20250719181609/2ca42d8f68605bab11c57f4113fb11dd.jpg,84,14.0,无,19,6,3,,,PCIE riser cable,PCIE 延长线,84,2,0,#N/A,,8471800000,,售卖品,2025-07-09 16:32:27
6933910422621,6933910422621,,PCIE4.0 X1显卡延长线(90度 9090) 10CM 黑色 带磁铁 型号: PCIE40X19090CBK10,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172920909/0/20250719181557/9229f825947deffee8f82e8518e34c12.jpg,72.44,14.0,无,19,6,3,,,PCIE riser cable,PCIE 延长线,83,2,0,#N/A,,8471800000,,售卖品,2025-07-09 16:32:18
6933910422614,6933910422614,,PCIE4.0 X1显卡延长线(90度 9090) 5CM 黑色 带磁铁 型号: PCIE40X19090CBK05,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172920867/0/20250719181621/be4c3eb2ef70e08656386ec03ceeb29e.jpg,76,13.0,无,19,6,3,,,PCIE riser cable,PCIE 延长线,76,2,0,#N/A,,8471800000,,售卖品,2025-07-09 16:32:09
6933910422607,6933910422607,,PCIE3.0 X1显卡延长线(90度 9090) 15CM 黑色 带磁铁 型号: PCIE30X19090CBK15,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172920815/0/20250719181637/0dc73cf3a2739bf4d6d6edcdb559b1f1.jpg,79,10.5,无,19,6,3,,,PCIE riser cable,PCIE 延长线,79,1,0,#N/A,,8471800000,,售卖品,2025-07-09 16:32:00
6933910422591,6933910422591,,PCIE3.0 X1显卡延长线(90度 9090) 5CM 黑色 带磁铁 型号: PCIE30X19090CBK05,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172920785/0/20250719181647/96d0e7f7b45b9fb56195f5c2e2351208.jpg,75,8.0,无,19,6,3,,,PCIE riser cable,PCIE 延长线,75,1,0,#N/A,,8471800000,,售卖品,2025-07-09 16:31:50
6933910422584,6933910422584,,PCIe 4.0 X1 转M.2 NVMe延长线 带磁铁 黑色10CM 型号: PCIE40X1NVME10,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172889693/0/20250719181707/f3e4281ec2aa9eb1c3067152d04e28f2.jpg,90,15.5,无,19,6,3,,,PCIE riser cable,PCIE 延长线,90,3,0,#N/A,,8471800000,,售卖品,2025-07-09 15:55:33
6933910422577,6933910422577,,RAGEER M.2 2280铝制散热器 银色 型号：RA180,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172807025/0/20260102110704/a431baa582c0f84dbaf7f5a4c46d1558.jpg,77,7.0,无,0,0,0,,,SSD heatsink,散热器,77,1,0,6933910422577,,8473309000,,售卖品,2025-07-09 14:36:07
6933910410109,6933910410109,,佳翼 苹果硬盘转接卡PCI-E 5.0 X4 型号：P569,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744172799683/0/20250827170247/a2472f611d908721d68e8568cd1d1ebf.jpg,88.2,15.6,无,15,11.7,2.5,,,PCIE adapter,PCIE 转接卡,88.2,2,0,6933910410109,,8471800000,,售卖品,2025-07-09 14:32:43
6933910410277,6933910410277,,佳翼 Mac Book SSD专用硬盘盒 型号：UJ506-Box银色,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744169295817/0/20250704174608/b3b25935394caf73ac17d58c281d591e.jpg,152.6,124.7,无,20,17,4,,,SSD enclosure,硬盘盒,152.6,15,0,6933910410277,,8473309000,,售卖品,2025-07-04 17:40:47
6933910410376,6933910410376,,佳翼 M2 NVMe转pci -e 5.0转接卡 型号：P560,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744169170105/0/20250801114123/5e4e065d8e88dea2f3a0b99dcbe6c1fd.jpg,96.2,14.7,无,12,15.5,3,,,PCIE adapter,PCIE 转接卡,96.2,2,0,6933910410376,,8471800000,,售卖品,2025-07-04 15:27:02
6933910422560,6933910422560,,雷电5数据线C To C 2.0米 黑色 尼龙编织款 型号：LDNL5-200,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744168313785/0/20250708100433/95f18e139810c9c53ba967e2c9736feb.jpg,108.5,23.86,无,24,13.7,1,,,数据线,USB Cable,108.5,8,0,6933910422560,,8544421100,,售卖品,2025-07-03 16:52:04
6933910422553,6933910422553,,雷电5数据线C To C 1.5米 黑色 尼龙编织款 型号：LDNL5-150,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744168311349/0/20250708100448/de07663b4aba54200fb75cde3f8f046c.jpg,85.8,15.85,无,24,13.7,1,,,数据线,USB Cable,85.8,7,0,6933910422553,,8544421100,,售卖品,2025-07-03 16:51:54
6933910422546,6933910422546,,雷电5数据线C To C 1.0米 黑色 尼龙编织款 型号：LDNL5-100,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744168308433/0/20250708100500/080c97d524872edabe4442be985a6539.jpg,64.4,23.86,无,24,13.7,1,,,数据线,USB Cable,64.4,6,0,6933910422546,,8544421100,,售卖品,2025-07-03 16:51:39
6933910422539,6933910422539,,雷电5数据线C To C 0.5米 黑色 尼龙编织款 型号：LDNL5-050,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744168306407/0/20250708100511/c20f4f4394ac4f0a348faf97527b52f6.jpg,43.6,10.39,无,24,13.7,1,,,数据线,USB Cable,43.6,5,0,6933910422539,,8544421100,,售卖品,2025-07-03 16:51:30
6933910422522,6933910422522,,PCIE4.0 X16显卡延长线(180度 1818双反向) 25CM 黑色 型号: PCIE40X16SFBK25,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744167362441/0/20250703174628/5c920f8bc433548e00b30718b5291367.jpg,197,53.0,无,27.5,15.5,4,,,PCIE riser cable,PCIE 延长线,197,12,0,#N/A,,8471800000,,售卖品,2025-07-02 18:08:12
6933910422515,6933910422515,,PCIE4.0 X16显卡延长线(180度 1818双反向) 25CM 白色 型号: PCIE40X16SFWT25,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744167362255/0/20250703174902/ef20eabfaca05a3dd82c1cbc12c9b0c9.jpg,205,53.0,无,27.5,15.5,4,,,PCIE riser cable,PCIE 延长线,184,12,0,#N/A,,8471800000,,售卖品,2025-07-02 18:08:03
6933910422508,6933910422508,,PCIE5.0 X16显卡延长线(180度 1818双反向) 20CM 黑色 型号: PCIE50X16SFBK20,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744167361825/0/20250719182141/a2bf1716a15d242faa80c977ad348af8.jpg,227,135.0,无,27.5,15.5,4,,,PCIE riser cable,PCIE 延长线,210.5,15,0,#N/A,,8471800000,,售卖品,2025-07-02 18:07:55
6933910422492,6933910422492,,PCIE5.0 X16显卡延长线(180度 1818双反向) 20CM 白色 型号: PCIE50X16SFWT20,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744167361581/0/20250719182153/4d501d49e8917a48f3641c2d14ead9e4.jpg,210,135.0,无,27.5,15.5,4,,,PCIE riser cable,PCIE 延长线,210,15,0,#N/A,,8471800000,,售卖品,2025-07-02 18:07:45
JEYIDB,JEYIDB,,JEYI短挡板,,1128549,,425,1.1,无,0,0,0,,,,,0,0,0,JEYIDB,,,,售卖品,2025-07-02 17:24:42
6933910422485,6933910422485,,锐戟 RGB硬盘盒NVMe协议 10G 型号：R-Arc Glow MAX,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744166029773/0/20250701113336/b0c7a3c922042c20a36ce344270d1515.jpg,82,32.0,无,13.8,8.5,1.8,,,SSD enclosure,硬盘盒,82,4,0,6933910422485,,8473309000,,售卖品,2025-07-01 09:21:32
40*26qpd,40*26qpd,,特大气泡袋 长40㎝宽26㎝ 重18.2g,,1128549,,18.2,0.0,无,40,26,0,,,,,0,0,0,40*26qpd,,,,售卖品,2025-06-25 11:17:32
37*19qpd,37*19qpd,,大号 气泡袋 长37㎝ 宽19㎝重10.4g,,1128549,,10.4,0.0,无,37,19,0,,,,,0,0,0,37*19qpd,,,,售卖品,2025-06-25 11:17:09
23*20qpd,23*20qpd,,中号 气泡袋 长23㎝宽20㎝重7.4g,,1128549,,7.4,0.0,无,23,20,0,,,,,0,0,0,23*20qpd,,,,售卖品,2025-06-25 11:16:46
22*15qpd,22*15qpd,,小号气泡袋 长22㎝宽15㎝ 重6.0g,,1128549,,6,0.0,无,22,15,0,,,,,0,0,0,22*15qpd,,,,售卖品,2025-06-25 11:16:18
6933910410246,6933910410246,,JEYI/佳翼 炫彩ARGB温控风扇集线器 型号：AF18（白色）,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744160100783/0/20250702171949/60a61a2486bab35be7463622ede3ba88.jpg,140,25.5,无,13.2,7.2,5.3,,,controller,控制器,140,3,0,6933910410246,,8537109090,,售卖品,2025-06-25 10:01:49
6933910410239,6933910410239,,JEYI/佳翼 炫彩ARGB温控风扇集线器 型号：AF18（黑色）,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744160100417/0/20250701135751/4f5fde56461464e84909f2d0167160f7.jpg,154,25.5,无,13.2,7.2,5.3,,,controller,控制器,154,3,0,6933910410239,,8537109090,,售卖品,2025-06-25 10:01:22
6933910422478,6933910422478,,双节长款显卡支架加大底座75-122MM 黑色 型号：RA-ZJ75122,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155900727/0/20250619102306/8356f58bf398ee0ab6f3d3a6c4b04f14.jpg,38.8,7.0,无,12,6,2.5,,,GPU brace,显卡支架,38.8,1,0,6933910422478,,8473309000,,售卖品,2025-06-19 10:19:45
6933910422461,6933910422461,,双节长款显卡支架加大底座51-82MM 黑色 型号：RA-ZJ5182,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155900529/0/20250619102318/ffb2b4ed7f0836fdddcda595efabf8ed.jpg,31.4,6.5,无,12,6,2.5,,,GPU brace,显卡支架,31.4,1,0,6933910422461,,8473309000,,售卖品,2025-06-19 10:19:23
6933910422454,6933910422454,,双节长款显卡支架72-120MM 黑色 型号：RA-ZJ72120,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155885423/0/20250619100855/bc6995ef9fca9c5d5753bfcd7e88daaf.jpg,34.2,5.0,无,12,6,1.5,,,GPU brace,显卡支架,34.2,1,0,6933910422454,,8473309000,,售卖品,2025-06-19 10:08:26
6933910422447,6933910422447,,双节中款显卡支架48-80MM 黑色 型号：RA-ZJ4880,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155885345/0/20250619100917/2a1a8617790c0d7d1101174e9327475d.jpg,26.2,3.0,无,12,6,1.5,,,GPU brace,显卡支架,26.2,1,0,6933910422447,,8473309000,,售卖品,2025-06-19 10:08:18
6933910422430,6933910422430,,三节短款显卡支架26-50MM 黑色 型号：RA-ZJ2650,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155885233/0/20250619100928/10cd2d3cfe5d5e74a7985dfeaff2c30e.jpg,19.4,3.3,无,12,6,1.5,,,GPU brace,显卡支架,19.4,1,0,6933910422430,,8473309000,,售卖品,2025-06-19 10:08:08
6933910422423,6933910422423,,双节中款显卡支架75-120MM 白色 ARGB 型号：RA-ZJAG75120,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155885101/0/20250619100943/c49b28868ba6e58bd1282f374352c498.jpg,43.6,10.0,无,12,6,1.5,,,GPU brace,显卡支架,43.6,1,0,6933910422423,,8473309000,,售卖品,2025-06-19 10:07:58
6933910422416,6933910422416,,双节长款显卡支架50-80MM 白色 ARGB 型号：RA-ZJAG5080,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155885003/0/20260304140942/304e02de418e8b053362b287b2c09149.jpg,35.6,10.0,无,12,6,1.5,,,GPU brace,显卡支架,35.6,1,0,6933910422416,,8473309000,,售卖品,2025-06-19 10:07:48
6933910422409,6933910422409,,双节长款显卡支架72-120MM 白色 型号：RA-ZJ72120,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155884715/0/20250619101011/20b5742f578d10ee0a26bc188cd61522.jpg,34.6,5.5,无,12,6,1.5,,,GPU brace,显卡支架,34.6,1,0,6933910422409,,8473309000,,售卖品,2025-06-19 10:07:31
6933910422393,6933910422393,,双节中款显卡支架48-80MM 白色 型号：RA-ZJ4880,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155884557/0/20250619101022/c81bb4ac04afc23fef834a299186f9f0.jpg,26.2,5.0,无,12,6,1.5,,,GPU brace,显卡支架,26.2,1,0,6933910422393,,8473309000,,售卖品,2025-06-19 10:07:21
6933910422386,6933910422386,,三节短款显卡支架26-50MM 白色 型号：RA-ZJ2650,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744155884449/0/20250619101032/fc56c966d71be00010524d7764ab2a46.jpg,19.4,3.8,无,12,6,1.5,,,GPU brace,显卡支架,19.4,1,0,,,8473309000,,售卖品,2025-06-19 10:07:11
6933910422379,6933910422379,,PCIE3.0 X1显卡延长线(90度 9090) 10CM 白色 带磁铁 型号: PCIE30X19090CWT10,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744154430345/0/20250703180358/e026baa0bdfa8210531d962f726470ce.jpg,73.86,8.0,无,19,6,3,,,PCIE riser cable,PCIE 延长线,84,1,0,#N/A,,8471800000,,售卖品,2025-06-17 15:16:29
6933910422362,6933910422362,,锐戟 CFexpress卡套 型号：影戟CFE卡套,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744153501771/0/20250718151238/9ff6ce3b5d36ef26da9cc7747a632a81.jpg,53,39.0,无,13,8,2.5,,,Card Reader,读卡器,53,5,0,6933910422362,,8471609000,,售卖品,2025-06-16 14:38:59
6933910422355,6933910422355,,佳翼 M.2NVME 四盘 RAID卡4.0  紫色 型号：X4X4-TOP,,1128549,,300,608.0,无,210.5,100,3,,,PCIE adapter,PCIE 转接卡,300,29,0,6933910422355,,8471800000,,售卖品,2025-06-13 11:45:15
6933910406232-2,6933910406232-2,,佳翼 酷冷007 2个装,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744149653879/0/20251119092230/15d790e61d0d87a976033d6d25dc7f54.jpg,90.25,15.0,无,0,0,0,,,SSD heatsink,散热器,100,2,0,6933910406232-2,,8473309000,,售卖品,2025-06-11 17:39:58
6933910410253,6933910410253,,雷电5旋风硬盘盒 80Gbps 型号：雷电9480-Fan,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744149376715/0/20250703181651/0e2549fccfa275c54febd74ff686369f.jpg,219,680.0,无,15,10,4,,,SSD enclosure,硬盘盒,219,29,0,6933910410253,,8473309000,,售卖品,2025-06-11 13:45:39
6933910422348,6933910422348,,PCIE5.0 X16显卡延长线(180度 1890) 30CM 白色 型号: PCIE50X161890WT30,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744144867045/0/20250619165252/64b136a3d1d4a269061cdd3240a6a67b.jpg,237.88,135.0,无,27.5,15.5,4,,,PCIE riser cable,PCIE 延长线,243.5,15,0,#N/A,,8471800000,,售卖品,2025-06-05 17:41:56
6933910422331,6933910422331,,PCIE5.0 X16显卡延长线(180度 1890) 30CM 黑色 型号: PCIE50X161890BK30,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744144866983/0/20250619165316/b3181d76eaf99a86a8cf09f1b13d7304.jpg,245,135.0,无,27.5,15.5,4,,,PCIE riser cable,PCIE 延长线,246.5,15,0,#N/A,,8471800000,,售卖品,2025-06-05 17:41:46
6933910410185,6933910410185,,佳翼一字硬盘盒NVMe协议 10G 型号：JY0E10CN,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744144514637/0/20250805135819/53a6c9d2381a5d20322cef33f2e27e1d.jpg,95.2,35.3,无,15,13,3,,,SSD enclosure,硬盘盒,77.8,5,0,6933910410185,,8473309000,,售卖品,2025-06-05 13:58:40
6933910410178,6933910410178,,佳翼一字硬盘盒SATA协议6G 型号：JY0E01,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744144489773/0/20250805135858/f0fe69c04e7df969e44cfcc61f12fcbe.jpg,77.8,31.9,无,15,13,3,,,SSD enclosure,硬盘盒,77.8,4,0,6933910410178,,8473309000,,售卖品,2025-06-05 13:46:42
6933910422324,6933910422324,,PCIE4.0 X16显卡延长线(180度 1890) 15CM 黑色 型号: PCIE40X161890BK15,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744144205975/0/20250719182804/d119804c47f6f1c79cc135581bb410ee.jpg,196.6,45.0,无,27.5,15.5,4,,,PCIE riser cable,PCIE 延长线,196.6,6,0,#N/A,,8471800000,,售卖品,2025-06-05 09:47:53
6933910409783,6933910409783,,雷电5 全功能数据线 Type-C To Type-C 50CM JEYI-TBT5,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744142839635/0/20250701134256/0d66b8ad8a70d346086bd472da0eb257.jpg,36,35.0,无,16,13,1,,,数据线,USB Cable,36,5,0,6933910409783,,8544421100,,售卖品,2025-06-03 15:34:59
6933910422317,6933910422317,,RAGEER锐戟 NVME2230直插式硬盘盒 型号：2230R,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744139461797/0/20250714101927/6709ae8c429a61b2aa5bc7566a440440.jpg,68,36.5,无,13,8.2,2.5,,,SSD enclosure,硬盘盒,68,3,0,,,8473309000,,售卖品,2025-05-29 17:14:07
6933910422294,6933910422294,,三卡位 显卡竖装支架 白色,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744139035183/0/20250702152854/c43ce8710c9e7db1252c0b4b9b1ab4e5.jpg,0,25.0,无,0,0,0,,,GPU brace,显卡支架,263,3,0,6933910422294,,8473309000,,售卖品,2025-05-29 09:03:59
6933910422300,6933910422300,,三卡位 显卡竖装支架 黑色,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744139034765/0/20250702152839/9e70f1a385960609bc54f2f332774575.jpg,263,25.0,无,0,0,0,,,GPU brace,显卡支架,263,3,0,6933910422300,,8473309000,,售卖品,2025-05-29 09:03:42
2230CB,2230CB,,RAGEER 斑马2230C板子,,1128549,,0,0.0,无,0,0,0,,,,,0,0,0,#N/A,,,,售卖品,2025-05-23 17:51:12
6933910422287,6933910422287,,粉色 6W 导热凝胶HY234导热泥100G 型号：HY234-CN100G,,1128549,http://productimage-1251220924.picgz.myqcloud.com/productimage/72372744135380575/0/20251119091637/d29d19f8fff94d493ec944d03298b93f.jpg,203.2,40.0,无,20,10,8,,,silicone thermal paste,散热硅脂,148.2,5,0,6933910422287,,8473309000,,售卖品,2025-05-23 15:52:13
